LLAVE|Longitud|Latitud
CESAR-MANAURE BALCON DEL CESAR|-73.028320|10.390899
CESAR-PAILITAS|-73.625817|8.956033
CESAR-PELAYA|-73.666355|8.688651
CESAR-PUEBLO BELLO|-73.589011|10.415062
CESAR-RIO DE ORO|-73.386395|8.292287
CESAR-LA PAZ|-73.171363|10.387490
CESAR-SAN ALBERTO|-73.394225|7.760826
CESAR-SAN DIEGO|-73.181218|10.333033
CESAR-SAN MARTIN|-73.510975|7.999895
CESAR-TAMALAMEQUE|-73.812173|8.861725
CORDOBA-MONTERIA|-75.875578|8.745133
CORDOBA-AYAPEL|-75.146291|8.314447
CORDOBA-BUENAVISTA|-75.480899|8.221166
CORDOBA-CANALETE|-76.241397|8.786945
CORDOBA-CERETE|-75.796217|8.888612
CORDOBA-CHIMA|-75.626896|9.149480
CORDOBA-CHINU|-75.399720|9.105294
CORDOBA-CIENAGA DE ORO|-75.620787|8.875502
CORDOBA-COTORRA|-75.799149|9.037088
CORDOBA-LA APARTADA|-75.339016|8.052454
CORDOBA-LORICA|-75.815995|9.240855
CORDOBA-LOS CORDOBAS|-76.355193|8.892169
CORDOBA-MOMIL|-75.677961|9.240712
CORDOBA-MONTELIBANO|-75.416818|7.973777
CORDOBA-MOÑITOS|-76.129396|9.245280
CORDOBA-PLANETA RICA|-75.583243|8.408203
CORDOBA-PUEBLO NUEVO|-75.507971|8.504003
CORDOBA-PUERTO ESCONDIDO|-76.260411|9.005372
CORDOBA-PUERTO LIBERTADOR|-75.671800|7.888835
CORDOBA-PURISIMA|-75.724885|9.239299
CORDOBA-SAHAGUN|-75.445920|8.943125
CORDOBA-SAN ANDRES SOTAVENTO|-75.508894|9.145163
CORDOBA-SAN ANTERO|-75.760773|9.376217
CORDOBA-SAN BERNARDO DEL VIENTO|-75.954744|9.352302
CORDOBA-SAN CARLOS|-75.698845|8.799107
CORDOBA-SAN JOSE DE URE|-75.533133|7.787185
CORDOBA-SAN PELAYO|-75.835126|8.958010
CORDOBA-TIERRALTA|-76.059697|8.170379
CORDOBA-TUCHIN|-75.554451|9.186966
CORDOBA-VALENCIA|-76.150719|8.255017
CUNDINAMARCA-AGUA DE DIOS|-74.669218|4.375312
CUNDINAMARCA-ALBAN|-74.438261|4.878022
CUNDINAMARCA-ANAPOIMA|-74.528518|4.562956
CUNDINAMARCA-ANOLAIMA|-74.463842|4.761695
CUNDINAMARCA-ARBELAEZ|-74.414826|4.272482
CUNDINAMARCA-BELTRAN|-74.741802|4.802811
CUNDINAMARCA-BITUIMA|-74.539619|4.872234
CUNDINAMARCA-BOJACA|-74.348492|4.741758
CUNDINAMARCA-CABRERA|-74.484187|3.984619
CUNDINAMARCA-CACHIPAY|-74.435707|4.730955
CUNDINAMARCA-CAJICA|-74.023454|4.920809
CUNDINAMARCA-CAPARRAPI|-74.491120|5.347943
CUNDINAMARCA-CAQUEZA|-73.946474|4.404101
CUNDINAMARCA-CARMEN DE CARUPA|-73.901574|5.349116
CUNDINAMARCA-CHAGUANI|-74.593455|4.948916
CUNDINAMARCA-CHIA|-74.050347|4.866065
CUNDINAMARCA-CHIPAQUE|-74.044876|4.442671
CUNDINAMARCA-CHOACHI|-73.922894|4.527048
CUNDINAMARCA-CHOCONTA|-73.683523|5.145224
CUNDINAMARCA-COGUA|-73.978497|5.061842
CUNDINAMARCA-COTA|-74.102726|4.812988
CUNDINAMARCA-CUCUNUBA|-73.766215|5.249768
CUNDINAMARCA-EL COLEGIO|-74.442552|4.579460
CUNDINAMARCA-EL PEÑON|-74.291286|5.249141
CUNDINAMARCA-EL ROSAL|-74.263667|4.852214
CUNDINAMARCA-FACATATIVA|-74.350228|4.813064
CUNDINAMARCA-FOMEQUE|-73.892523|4.485474
CUNDINAMARCA-FOSCA|-73.939020|4.339093
CUNDINAMARCA-FUNZA|-74.211525|4.712763
CUNDINAMARCA-FUQUENE|-73.795855|5.404041
CUNDINAMARCA-FUSAGASUGA|-74.366334|4.338481
CUNDINAMARCA-GACHALA|-73.520161|4.693579
CUNDINAMARCA-GACHANCIPA|-73.873469|4.990918
CUNDINAMARCA-GACHETA|-73.637007|4.817022
CUNDINAMARCA-GAMA|-73.611029|4.763338
CUNDINAMARCA-GIRARDOT|-74.797795|4.313078
CUNDINAMARCA-GRANADA|-74.350766|4.519763
CUNDINAMARCA-GUACHETA|-73.687098|5.383741
CUNDINAMARCA-GUADUAS|-74.602956|5.071871
CUNDINAMARCA-GUASCA|-73.877143|4.866719
CUNDINAMARCA-GUATAQUI|-74.789969|4.517417
CUNDINAMARCA-GUATAVITA|-73.832874|4.934140
CUNDINAMARCA-GUAYABAL DE SIQUIMA|-74.467437|4.877968
